,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Address,Distance,Postalcode,City,State,Venue Category
87,Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697,Crow Hill CrossFit,40.67768653054873,-73.95677179098129,1010 Dean St,689,11238,Brooklyn,NY,Gym
88,Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697,Crossfit Kingsboro,40.68006491229371,-73.96083801950718,1000 Atlantic Ave,495,11238,Brooklyn,NY,Gym / Fitness Center
89,Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697,CrossFit Outbreak,40.69755415417896,-73.96498985427989,10 Grand Ave,2307,11205,Brooklyn,NY,Gym
90,Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697,Park Slope Crossfit,40.68155605033434,-73.97951811393598,500 Bergen St,1345,11217,Brooklyn,NY,Gym / Fitness Center
91,Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697,Crossfit Outbreak,40.686849845476694,-73.94175109166727,492 Throop Ave,2247,11221,New York,NY,Gym / Fitness Center
92,Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697,Class One Mixed Martial Arts & CrossFit,40.68168067415296,-73.97998644894972,85 4th Ave,1386,11217,Brooklyn,NY,Martial Arts Dojo
93,Brooklyn,Brownsville,40.66394994339758,-73.91023536176615,Crossfit BQE,40.687133932943645,-73.90619787369249,698 Central Ave,2603,11207,Brooklyn,NY,Athletics & Sports
94,Brooklyn,Brownsville,40.66394994339758,-73.91023536176615,Crowhill Crossfit,40.650587473474175,-73.9129353301848,800,1504,,Brooklyn,NY,Athletics & Sports
95,Brooklyn,Brownsville,40.66394994339758,-73.91023536176615,Crossfit Fit Cross II,40.641800472432834,-73.91133785247803,8701 Farragut Rd,2467,11236,Brooklyn,NY,Gym
96,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,True North Training,40.71687709749549,-73.96593519191094,70 River St,1268,11211,Brooklyn,NY,Gym
97,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,LTrain CrossFit,40.71148487197682,-73.94578712977734,667 Grand St,1147,11211,Brooklyn,NY,Gym / Fitness Center
98,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,WillyB Crossfit,40.707827833118586,-73.94877866580192,41 Meserole Street,791,,Brooklyn,NY,Gym
99,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,CrossFit Virtuosity,40.719027924652224,-73.94800787522796,98 Bayard St,1573,11222,Brooklyn,NY,Gym
100,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,CrossFit East River,40.7254434939673,-73.97846140631547,647 E 9th St,2663,10009,New York,NY,Gym / Fitness Center
101,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,Crossfit Outbreak,40.71821365256554,-73.94289220547613,208 Frost St,1779,11211,Brooklyn,NY,Gym / Fitness Center
102,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,CrossFit Dumbo,40.70355587265485,-73.98779136884086,48 Pearl St,2535,11201,Brooklyn,NY,Gym
103,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,CrossFit Outbreak,40.69755415417896,-73.96498985427989,10 Grand Ave,1215,11205,Brooklyn,NY,Gym
104,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,Bushwick CrossFit,40.703433968199775,-73.93095418810844,10 Wilson Ave,2328,11237,Brooklyn,NY,Gym / Fitness Center
105,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,Crossfit Outbreak,40.710482,-73.966665,415 Wythe Ave,811,11249,Brooklyn,NY,Gym
106,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,CrossFit DeBo,40.710137651424134,-73.93635749816895,306 Stagg St,1865,11206,Brooklyn,NY,Gym / Fitness Center
107,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,Crossfit Outbreak,40.695908,-73.93364,1000 Broadway,2414,11221,Brooklyn,NY,Gym / Fitness Center
108,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,Brooklyn CrossFit : West Street,40.7281508786577,-73.95868520245914,42 West St,2338,11222,Brooklyn,NY,Gym
109,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,Crossfit Outbreak,40.686849845476694,-73.94175109166727,492 Throop Ave,2647,11221,New York,NY,Gym / Fitness Center
110,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,willyb crossfit,40.729464975491624,-73.95069073496587,220 Newel Street,2562,,Brooklyn,NY,Gym
111,Brooklyn,Bushwick,40.69811611017905,-73.92525797487053,Bushwick CrossFit,40.703433968199775,-73.93095418810844,10 Wilson Ave,762,11237,Brooklyn,NY,Gym / Fitness Center
112,Brooklyn,Bushwick,40.69811611017905,-73.92525797487053,Crossfit BQE,40.687133932943645,-73.90619787369249,698 Central Ave,2020,11207,Brooklyn,NY,Athletics & Sports
113,Brooklyn,Bushwick,40.69811611017905,-73.92525797487053,LTrain CrossFit,40.71148487197682,-73.94578712977734,667 Grand St,2283,11211,Brooklyn,NY,Gym / Fitness Center
114,Brooklyn,Bushwick,40.69811611017905,-73.92525797487053,WillyB Crossfit,40.707827833118586,-73.94877866580192,41 Meserole Street,2260,,Brooklyn,NY,Gym
115,Brooklyn,Bushwick,40.69811611017905,-73.92525797487053,Crossfit Outbreak,40.71821365256554,-73.94289220547613,208 Frost St,2686,11211,Brooklyn,NY,Gym / Fitness Center
116,Brooklyn,Bushwick,40.69811611017905,-73.92525797487053,Crossfit Outbreak,40.695908,-73.93364,1000 Broadway,748,11221,Brooklyn,NY,Gym / Fitness Center
117,Brooklyn,Bushwick,40.69811611017905,-73.92525797487053,CrossFit DeBo,40.710137651424134,-73.93635749816895,306 Stagg St,1633,11206,Brooklyn,NY,Gym / Fitness Center
118,Brooklyn,Bushwick,40.69811611017905,-73.92525797487053,Crossfit Outbreak,40.686849845476694,-73.94175109166727,492 Throop Ave,1873,11221,New York,NY,Gym / Fitness Center
119,Brooklyn,Bushwick,40.69811611017905,-73.92525797487053,Crossfit Bridge and Tunnel,40.69545059200372,-73.90079651038307,,2085,11385,Queens,NY,Gym
